epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
151,10,5,"[3, 43, 25, 48, 98, 87, 6, 23, 34, 52]","[43, 25, 48, 98, 87, 6, 23, 34, 52]",[3],1.0567586531069635,0.15351838153077846,2.0,0,0,"[3, 43, 25, 48, 98, 87, 6, 23, 34, 52]",[],"[3, 43, 25, 48, 98, 87, 6, 23, 34, 52]",[],"[43, 25, 48, 98, 87, 6, 23, 34, 52]",[3],[],[],2,0.6795770525932312,"{""0"": 3.6404776573181152, ""1"": -1.0}",0,0,"[3, 43, 25, 98, 87, 6, 23, 34, 52]",[48],"[3, 43, 25, 98, 87, 6, 23, 34, 52]",[48],"[43, 25, 98, 87, 6, 23, 34, 52]",[3],[48],[],"[3, 43, 25, 98, 87, 6, 23, 34, 52]",[48],"[43, 25, 98, 87, 6, 23, 34, 52]",[3],[48],[],8,1,1,0
152,10,5,"[4, 36, 68, 37, 92, 94, 14, 22, 28, 18]","[36, 68, 37, 92, 94, 14, 22, 28, 18]",[4],0.5752899799237304,0.04365259373180602,2.0,0,0,"[68, 37, 92, 94, 14, 22, 28]","[4, 36, 18]","[68, 37, 92, 94, 14, 22, 28]","[4, 36, 18]","[68, 37, 92, 94, 14, 22, 28]",[],"[36, 18]",[4],2,0.5191610455513,"{""0"": 0.9835728406906128, ""1"": -1.0}",0,0,"[68, 37, 92, 94, 14, 22]","[4, 36, 28, 18]","[68, 37, 92, 94, 14, 22]","[4, 36, 28, 18]","[68, 37, 92, 94, 14, 22]",[],"[36, 28, 18]",[4],"[68, 37, 92, 94, 14, 22]","[4, 36, 28, 18]","[68, 37, 92, 94, 14, 22]",[],"[36, 28, 18]",[4],6,0,3,1
153,10,5,"[1, 24, 30, 22, 5, 72, 62, 32, 68, 97]","[24, 30, 22, 5, 72, 62, 32, 68, 97]",[1],0.7821600050239887,0.10853616353339235,2.0,0,0,"[1, 24, 30, 22, 5, 72, 62, 32, 68, 97]",[],"[1, 24, 30, 22, 5, 72, 62, 32, 68, 97]",[],"[24, 30, 22, 5, 72, 62, 32, 68, 97]",[1],[],[],3,0.37449464201927185,"{""0"": 2.3036391735076904, ""1"": 1.9698972702026367, ""2"": 1.5772004127502441}",0,0,"[1, 22, 5, 72, 68, 97]","[24, 30, 62, 32]","[1, 22, 5, 72, 68, 97]","[24, 30, 62, 32]","[22, 5, 72, 68, 97]",[1],"[24, 30, 62, 32]",[],"[1, 22, 5, 72, 68, 97]","[24, 30, 62, 32]","[22, 5, 72, 68, 97]",[1],"[24, 30, 62, 32]",[],5,1,4,0
154,10,5,"[2, 91, 61, 8, 99, 97, 98, 93, 74, 39]","[91, 61, 8, 99, 97, 98, 93, 74, 39]",[2],0.6132259984291184,0.11268936233901275,2.0,0,0,"[2, 91, 61, 8, 99, 98, 93, 74, 39]",[97],"[2, 91, 61, 8, 99, 98, 93, 74, 39]",[97],"[91, 61, 8, 99, 98, 93, 74, 39]",[2],[97],[],2,0.6642731428146362,"{""0"": 1.813657283782959, ""1"": -1.0}",0,0,"[91, 61, 8, 99, 98, 93, 74, 39]","[2, 97]","[91, 61, 8, 99, 98, 93, 74, 39]","[2, 97]","[91, 61, 8, 99, 98, 93, 74, 39]",[],[97],[2],"[91, 61, 8, 99, 98, 93, 74, 39]","[2, 97]","[91, 61, 8, 99, 98, 93, 74, 39]",[],[97],[2],8,0,1,1
155,10,5,"[1, 75, 14, 32, 62, 2, 68, 46, 72, 57]","[75, 14, 32, 62, 68, 46, 72, 57]","[1, 2]",0.7224358956823236,0.1006322710452845,2.0,0,0,"[1, 75, 14, 32, 62, 2, 68, 46, 72, 57]",[],"[1, 75, 14, 32, 62, 2, 68, 46, 72, 57]",[],"[75, 14, 32, 62, 68, 46, 72, 57]","[1, 2]",[],[],2,0.6850335597991943,"{""0"": 3.2122182846069336, ""1"": -1.0}",0,0,"[1, 75, 14, 32, 62, 68, 46, 72, 57]",[2],"[1, 75, 14, 32, 62, 68, 46, 72, 57]",[2],"[75, 14, 32, 62, 68, 46, 72, 57]",[1],[],[2],"[1, 75, 14, 32, 62, 68, 46, 72, 57]",[2],"[75, 14, 32, 62, 68, 46, 72, 57]",[1],[],[2],8,1,0,1
156,10,5,"[4, 27, 62, 80, 22, 16, 29, 15, 55, 95]","[27, 62, 80, 22, 16, 29, 15, 55, 95]",[4],0.6264328068900902,0.09248908804054778,2.0,0,0,"[4, 27, 62, 80, 22, 16, 29, 15, 55]",[95],"[4, 27, 62, 80, 22, 16, 29, 15, 55]",[95],"[27, 62, 80, 22, 16, 29, 15, 55]",[4],[95],[],2,0.5189147591590881,"{""0"": 1.8805592060089111, ""1"": -1.0}",0,0,"[4, 27, 62, 80, 22, 16, 29, 55]","[15, 95]","[4, 27, 62, 80, 22, 16, 29, 55]","[15, 95]","[27, 62, 80, 22, 16, 29, 55]",[4],"[15, 95]",[],"[4, 27, 62, 80, 22, 16, 29, 55]","[15, 95]","[27, 62, 80, 22, 16, 29, 55]",[4],"[15, 95]",[],7,1,2,0
157,10,5,"[4, 24, 18, 49, 84, 7, 67, 0, 80, 77]","[24, 18, 49, 84, 7, 67, 80, 77]","[4, 0]",0.7554229324946469,0.11095265370237756,2.0,0,0,"[4, 24, 18, 49, 84, 67, 0, 80, 77]",[7],"[4, 24, 18, 49, 84, 67, 0, 80, 77]",[7],"[24, 18, 49, 84, 67, 80, 77]","[4, 0]",[7],[],2,0.519684374332428,"{""0"": 1.8696620464324951, ""1"": -1.0}",0,0,"[4, 24, 18, 49, 84, 67, 80, 77]","[7, 0]","[4, 24, 18, 49, 84, 67, 80, 77]","[7, 0]","[24, 18, 49, 84, 67, 80, 77]",[4],[7],[0],"[4, 24, 18, 49, 84, 67, 80, 77]","[7, 0]","[24, 18, 49, 84, 67, 80, 77]",[4],[7],[0],7,1,1,1
158,10,5,"[1, 58, 9, 48, 14, 80, 30, 10, 70, 39]","[58, 9, 48, 14, 80, 30, 10, 70, 39]",[1],0.7839029170945134,0.10045691496125403,2.0,0,0,"[1, 58, 9, 14, 80, 30, 10, 70, 39]",[48],"[1, 58, 9, 14, 80, 30, 10, 70, 39]",[48],"[58, 9, 14, 80, 30, 10, 70, 39]",[1],[48],[],3,0.3265223801136017,"{""0"": 1.4619617462158203, ""1"": 2.4918928146362305, ""2"": 3.349245071411133}",2,0,"[1, 14, 80, 30]","[58, 9, 48, 10, 70, 39]","[1, 14, 80, 30]","[58, 9, 48, 10, 70, 39]","[14, 80, 30]",[1],"[58, 9, 48, 10, 70, 39]",[],"[1, 14, 80, 30]","[58, 9, 48, 10, 70, 39]","[14, 80, 30]",[1],"[58, 9, 48, 10, 70, 39]",[],3,1,6,0
159,10,5,"[2, 92, 77, 70, 72, 99, 32, 0, 26, 57]","[92, 77, 70, 72, 99, 32, 26, 57]","[2, 0]",0.9196276369211325,0.05816776747604707,2.0,0,0,"[92, 77, 70, 72, 99, 32]","[2, 0, 26, 57]","[92, 77, 70, 72, 99, 32]","[2, 0, 26, 57]","[92, 77, 70, 72, 99, 32]",[],"[26, 57]","[2, 0]",2,0.5580657720565796,"{""0"": 3.011519432067871, ""1"": 1.8886828422546387}",0,0,"[92, 77, 70, 72]","[2, 99, 32, 0, 26, 57]","[92, 77, 70, 72]","[2, 99, 32, 0, 26, 57]","[92, 77, 70, 72]",[],"[99, 32, 26, 57]","[2, 0]","[92, 77, 70, 72]","[2, 99, 32, 0, 26, 57]","[92, 77, 70, 72]",[],"[99, 32, 26, 57]","[2, 0]",4,0,4,2
160,10,5,"[2, 84, 57, 95, 30, 70, 16, 13, 29, 27]","[84, 57, 95, 30, 70, 16, 13, 29, 27]",[2],0.9086494422275813,0.1251462445451546,2.0,0,0,"[2, 84, 57, 30, 70, 13, 29, 27]","[95, 16]","[2, 84, 57, 30, 70, 13, 29, 27]","[95, 16]","[84, 57, 30, 70, 13, 29, 27]",[2],"[95, 16]",[],2,0.4424079656600952,"{""0"": 1.6345157623291016, ""1"": -1.0}",0,0,"[84, 57, 30, 70, 13, 29, 27]","[2, 95, 16]","[84, 57, 30, 70, 13, 29, 27]","[2, 95, 16]","[84, 57, 30, 70, 13, 29, 27]",[],"[95, 16]",[2],"[84, 57, 30, 70, 13, 29, 27]","[2, 95, 16]","[84, 57, 30, 70, 13, 29, 27]",[],"[95, 16]",[2],7,0,2,1
161,10,5,"[3, 8, 86, 33, 74, 35, 51, 22, 40, 47]","[8, 86, 33, 74, 35, 51, 22, 40, 47]",[3],0.656710433972443,0.07529114255250002,2.0,0,0,"[3, 86, 33, 74, 35, 51, 22, 40]","[8, 47]","[3, 86, 33, 74, 35, 51, 22, 40]","[8, 47]","[86, 33, 74, 35, 51, 22, 40]",[3],"[8, 47]",[],2,0.4301046133041382,"{""0"": 1.2614296674728394, ""1"": 1.8994290828704834}",1,0,"[86, 51]","[3, 8, 33, 74, 35, 22, 40, 47]","[86, 51]","[3, 8, 33, 74, 35, 22, 40, 47]","[86, 51]",[],"[8, 33, 74, 35, 22, 40, 47]",[3],"[86, 51]","[3, 8, 33, 74, 35, 22, 40, 47]","[86, 51]",[],"[8, 33, 74, 35, 22, 40, 47]",[3],2,0,7,1
162,10,5,"[2, 40, 4, 57, 63, 1, 42, 30, 46, 84]","[40, 57, 63, 42, 30, 46, 84]","[2, 4, 1]",0.7905719119449792,0.1333204947131056,2.0,0,0,"[2, 40, 4, 57, 63, 1, 42, 30, 46, 84]",[],"[2, 40, 4, 57, 63, 1, 42, 30, 46, 84]",[],"[40, 57, 63, 42, 30, 46, 84]","[2, 4, 1]",[],[],2,0.6761327981948853,"{""0"": 2.8792061805725098, ""1"": -1.0}",0,0,"[40, 4, 57, 63, 1, 42, 30, 46, 84]",[2],"[40, 4, 57, 63, 1, 42, 30, 46, 84]",[2],"[40, 57, 63, 42, 30, 46, 84]","[4, 1]",[],[2],"[40, 4, 57, 63, 1, 42, 30, 46, 84]",[2],"[40, 57, 63, 42, 30, 46, 84]","[4, 1]",[],[2],7,2,0,1
163,10,5,"[4, 67, 17, 27, 34, 71, 93, 13, 86, 16]","[67, 17, 27, 34, 71, 93, 13, 86, 16]",[4],0.9957540222837353,0.11171156627963896,2.0,0,0,"[4, 67, 27, 34, 71, 93, 13, 86, 16]",[17],"[4, 67, 27, 34, 71, 93, 13, 86, 16]",[17],"[67, 27, 34, 71, 93, 13, 86, 16]",[4],[17],[],2,0.5403594374656677,"{""0"": 3.4028992652893066, ""1"": 1.6900171041488647}",0,0,"[27, 34, 71, 93, 13, 86, 16]","[4, 67, 17]","[27, 34, 71, 93, 13, 86, 16]","[4, 67, 17]","[27, 34, 71, 93, 13, 86, 16]",[],"[67, 17]",[4],"[27, 34, 71, 93, 13, 86, 16]","[4, 67, 17]","[27, 34, 71, 93, 13, 86, 16]",[],"[67, 17]",[4],7,0,2,1
164,10,5,"[4, 3, 86, 72, 23, 73, 84, 96, 30, 67]","[86, 72, 23, 73, 84, 96, 30, 67]","[4, 3]",0.785779808353817,0.11675337924545554,2.0,0,0,"[4, 3, 86, 72, 23, 73, 84, 96, 30, 67]",[],"[4, 3, 86, 72, 23, 73, 84, 96, 30, 67]",[],"[86, 72, 23, 73, 84, 96, 30, 67]","[4, 3]",[],[],4,0.46493083238601685,"{""0"": 3.4913086891174316, ""1"": 1.981263518333435, ""2"": -1.0, ""3"": 1.9811937808990479}",0,0,"[86, 72, 23, 84, 30]","[4, 3, 73, 96, 67]","[86, 72, 23, 84, 30]","[4, 3, 73, 96, 67]","[86, 72, 23, 84, 30]",[],"[73, 96, 67]","[4, 3]","[86, 72, 23, 84, 30]","[4, 3, 73, 96, 67]","[86, 72, 23, 84, 30]",[],"[73, 96, 67]","[4, 3]",5,0,3,2
165,10,5,"[2, 8, 18, 94, 69, 36, 63, 62, 76, 71]","[8, 18, 94, 69, 36, 63, 62, 76, 71]",[2],0.8477342532262271,0.06897596602520467,2.0,0,0,"[2, 8, 18, 94, 69, 36, 63, 62, 76, 71]",[],"[2, 8, 18, 94, 69, 36, 63, 62, 76, 71]",[],"[8, 18, 94, 69, 36, 63, 62, 76, 71]",[2],[],[],2,0.36066359281539917,"{""0"": 2.677729368209839, ""1"": 2.479689836502075}",0,0,"[8, 18, 94, 69, 36, 63, 62]","[2, 76, 71]","[8, 18, 94, 69, 36, 63, 62]","[2, 76, 71]","[8, 18, 94, 69, 36, 63, 62]",[],"[76, 71]",[2],"[8, 18, 94, 69, 36, 63, 62]","[2, 76, 71]","[8, 18, 94, 69, 36, 63, 62]",[],"[76, 71]",[2],7,0,2,1
166,10,5,"[1, 44, 66, 63, 95, 46, 29, 60, 9, 48]","[44, 66, 63, 95, 46, 29, 60, 9, 48]",[1],0.8723241098740796,0.12963374412606482,2.0,0,0,"[1, 44, 66, 63, 95, 46, 29, 60, 9, 48]",[],"[1, 44, 66, 63, 95, 46, 29, 60, 9, 48]",[],"[44, 66, 63, 95, 46, 29, 60, 9, 48]",[1],[],[],2,0.5329596996307373,"{""0"": 2.354093313217163, ""1"": -1.0}",0,0,"[1, 44, 66, 63, 95, 46, 29, 60, 9]",[48],"[1, 44, 66, 63, 95, 46, 29, 60, 9]",[48],"[44, 66, 63, 95, 46, 29, 60, 9]",[1],[48],[],"[1, 44, 66, 63, 95, 46, 29, 60, 9]",[48],"[44, 66, 63, 95, 46, 29, 60, 9]",[1],[48],[],8,1,1,0
167,10,5,"[3, 99, 38, 13, 42, 31, 28, 96, 5, 58]","[99, 38, 13, 42, 31, 28, 96, 5, 58]",[3],0.9508656401315181,0.17486621679409903,2.0,0,0,"[3, 99, 38, 13, 42, 31, 28, 96, 5, 58]",[],"[3, 99, 38, 13, 42, 31, 28, 96, 5, 58]",[],"[99, 38, 13, 42, 31, 28, 96, 5, 58]",[3],[],[],2,0.550561249256134,"{""0"": 1.1533639430999756, ""1"": -1.0}",0,0,"[3, 99, 38, 13, 42, 28, 96, 5, 58]",[31],"[3, 99, 38, 13, 42, 28, 96, 5, 58]",[31],"[99, 38, 13, 42, 28, 96, 5, 58]",[3],[31],[],"[3, 99, 38, 13, 42, 28, 96, 5, 58]",[31],"[99, 38, 13, 42, 28, 96, 5, 58]",[3],[31],[],8,1,1,0
168,10,5,"[0, 49, 53, 54, 88, 64, 8, 83, 85, 90]","[49, 53, 54, 88, 64, 8, 83, 85, 90]",[0],0.7639211828469243,0.15902032911798963,2.0,0,0,"[0, 49, 53, 64, 8, 83, 85, 90]","[54, 88]","[0, 49, 53, 64, 8, 83, 85, 90]","[54, 88]","[49, 53, 64, 8, 83, 85, 90]",[0],"[54, 88]",[],2,0.5439995527267456,"{""0"": 1.8633358478546143, ""1"": 5.585352897644043}",1,0,"[49, 53, 64, 83, 85, 90]","[0, 54, 88, 8]","[49, 53, 64, 83, 85, 90]","[0, 54, 88, 8]","[49, 53, 64, 83, 85, 90]",[],"[54, 88, 8]",[0],"[49, 53, 64, 83, 85, 90]","[0, 54, 88, 8]","[49, 53, 64, 83, 85, 90]",[],"[54, 88, 8]",[0],6,0,3,1
169,10,5,"[3, 28, 98, 30, 12, 13, 74, 9, 92, 56]","[28, 98, 30, 12, 13, 74, 9, 92, 56]",[3],0.5861157787009426,0.07747249856283536,2.0,0,0,"[3, 28, 98, 30, 12, 74, 9, 92, 56]",[13],"[3, 28, 98, 30, 12, 74, 9, 92, 56]",[13],"[28, 98, 30, 12, 74, 9, 92, 56]",[3],[13],[],3,0.3632468581199646,"{""0"": 1.7685601711273193, ""1"": 1.9191739559173584, ""2"": -1.0}",1,0,"[3, 12]","[28, 98, 30, 13, 74, 9, 92, 56]","[3, 12]","[28, 98, 30, 13, 74, 9, 92, 56]",[12],[3],"[28, 98, 30, 13, 74, 9, 92, 56]",[],"[3, 12]","[28, 98, 30, 13, 74, 9, 92, 56]",[12],[3],"[28, 98, 30, 13, 74, 9, 92, 56]",[],1,1,8,0
170,10,5,"[0, 14, 76, 43, 44, 96, 29, 4, 77, 32]","[14, 76, 43, 44, 96, 29, 77, 32]","[0, 4]",0.9918492318451183,0.15127533115897585,2.0,0,0,"[0, 14, 76, 43, 44, 96, 29, 4, 77, 32]",[],"[0, 14, 76, 43, 44, 96, 29, 4, 77, 32]",[],"[14, 76, 43, 44, 96, 29, 77, 32]","[0, 4]",[],[],2,0.4356779158115387,"{""0"": 2.5742952823638916, ""1"": 3.2419188022613525}",1,0,"[14, 76, 43, 96, 4, 77, 32]","[0, 44, 29]","[14, 76, 43, 96, 4, 77, 32]","[0, 44, 29]","[14, 76, 43, 96, 77, 32]",[4],"[44, 29]",[0],"[14, 76, 43, 96, 4, 77, 32]","[0, 44, 29]","[14, 76, 43, 96, 77, 32]",[4],"[44, 29]",[0],6,1,2,1
171,10,5,"[3, 27, 93, 15, 25, 33, 88, 8, 30, 63]","[27, 93, 15, 25, 33, 88, 8, 30, 63]",[3],0.709437675876637,0.04574634193630628,2.0,0,0,"[3, 27, 93, 15, 25, 33, 8, 30, 63]",[88],"[3, 27, 93, 15, 25, 33, 8, 30, 63]",[88],"[27, 93, 15, 25, 33, 8, 30, 63]",[3],[88],[],3,0.5171229839324951,"{""0"": 3.5534653663635254, ""1"": 1.8419301509857178, ""2"": 1.9471209049224854}",0,0,"[3, 27, 93, 33, 63]","[15, 25, 88, 8, 30]","[3, 27, 93, 33, 63]","[15, 25, 88, 8, 30]","[27, 93, 33, 63]",[3],"[15, 25, 88, 8, 30]",[],"[3, 27, 93, 33, 63]","[15, 25, 88, 8, 30]","[27, 93, 33, 63]",[3],"[15, 25, 88, 8, 30]",[],4,1,5,0
172,10,5,"[3, 80, 10, 60, 1, 28, 63, 74, 81, 84]","[80, 10, 60, 28, 63, 74, 81, 84]","[3, 1]",0.6231836650555278,0.05716476609523452,2.0,0,0,"[3, 80, 60, 1, 28, 63, 74, 84]","[10, 81]","[3, 80, 60, 1, 28, 63, 74, 84]","[10, 81]","[80, 60, 28, 63, 74, 84]","[3, 1]","[10, 81]",[],2,0.5228566527366638,"{""0"": 3.0189335346221924, ""1"": 2.722036123275757}",0,0,"[3, 80, 1, 28, 74]","[10, 60, 63, 81, 84]","[3, 80, 1, 28, 74]","[10, 60, 63, 81, 84]","[80, 28, 74]","[3, 1]","[10, 60, 63, 81, 84]",[],"[3, 80, 1, 28, 74]","[10, 60, 63, 81, 84]","[80, 28, 74]","[3, 1]","[10, 60, 63, 81, 84]",[],3,2,5,0
173,10,5,"[1, 4, 54, 13, 69, 75, 18, 7, 2, 37]","[54, 13, 69, 75, 18, 7, 37]","[1, 4, 2]",0.716370051908758,0.13545322231599788,2.0,0,0,"[1, 4, 13, 69, 75, 18, 7, 2, 37]",[54],"[1, 4, 13, 69, 75, 18, 7, 2, 37]",[54],"[13, 69, 75, 18, 7, 37]","[1, 4, 2]",[54],[],2,0.48380613327026367,"{""0"": 4.620818138122559, ""1"": -1.0}",0,0,"[1, 4, 13, 69, 75, 18, 7, 37]","[54, 2]","[1, 4, 13, 69, 75, 18, 7, 37]","[54, 2]","[13, 69, 75, 18, 7, 37]","[1, 4]",[54],[2],"[1, 4, 13, 69, 75, 18, 7, 37]","[54, 2]","[13, 69, 75, 18, 7, 37]","[1, 4]",[54],[2],6,2,1,1
174,10,5,"[2, 67, 17, 6, 62, 19, 13, 51, 24, 35]","[67, 17, 6, 62, 19, 13, 51, 24, 35]",[2],0.715350927447372,0.07057963050554883,2.0,0,0,"[2, 67, 6, 62, 13, 51, 24, 35]","[17, 19]","[2, 67, 6, 62, 13, 51, 24, 35]","[17, 19]","[67, 6, 62, 13, 51, 24, 35]",[2],"[17, 19]",[],2,0.5565054416656494,"{""0"": 1.93373441696167, ""1"": -1.0}",0,0,"[67, 6, 62, 13, 51, 24, 35]","[2, 17, 19]","[67, 6, 62, 13, 51, 24, 35]","[2, 17, 19]","[67, 6, 62, 13, 51, 24, 35]",[],"[17, 19]",[2],"[67, 6, 62, 13, 51, 24, 35]","[2, 17, 19]","[67, 6, 62, 13, 51, 24, 35]",[],"[17, 19]",[2],7,0,2,1
175,10,5,"[3, 89, 39, 17, 56, 72, 35, 62, 32, 19]","[89, 39, 17, 56, 72, 35, 62, 32, 19]",[3],0.6909171219010762,0.09253858469916987,2.0,0,0,"[3, 89, 39, 17, 56, 72, 35, 62, 32, 19]",[],"[3, 89, 39, 17, 56, 72, 35, 62, 32, 19]",[],"[89, 39, 17, 56, 72, 35, 62, 32, 19]",[3],[],[],2,0.5512234568595886,"{""0"": 1.0185695886611938, ""1"": -1.0}",0,0,"[3, 89, 39, 17, 56, 72, 35, 62, 32]",[19],"[3, 89, 39, 17, 56, 72, 35, 62, 32]",[19],"[89, 39, 17, 56, 72, 35, 62, 32]",[3],[19],[],"[3, 89, 39, 17, 56, 72, 35, 62, 32]",[19],"[89, 39, 17, 56, 72, 35, 62, 32]",[3],[19],[],8,1,1,0
176,10,5,"[2, 42, 8, 99, 55, 43, 18, 74, 85, 78]","[42, 8, 99, 55, 43, 18, 74, 85, 78]",[2],0.6967034131163445,0.1294781412876171,2.0,0,0,"[2, 42, 8, 99, 55, 43, 18, 74, 85, 78]",[],"[2, 42, 8, 99, 55, 43, 18, 74, 85, 78]",[],"[42, 8, 99, 55, 43, 18, 74, 85, 78]",[2],[],[],2,0.6603763103485107,"{""0"": 3.0830788612365723, ""1"": -1.0}",0,0,"[42, 8, 99, 55, 43, 18, 74, 85, 78]",[2],"[42, 8, 99, 55, 43, 18, 74, 85, 78]",[2],"[42, 8, 99, 55, 43, 18, 74, 85, 78]",[],[],[2],"[42, 8, 99, 55, 43, 18, 74, 85, 78]",[2],"[42, 8, 99, 55, 43, 18, 74, 85, 78]",[],[],[2],9,0,0,1
177,10,5,"[0, 43, 92, 29, 50, 57, 80, 82, 16, 17]","[43, 92, 29, 50, 57, 80, 82, 16, 17]",[0],0.6780123471552307,0.10804211924688645,2.0,0,0,"[43, 92, 29, 50, 57, 80, 82, 16]","[0, 17]","[43, 92, 29, 50, 57, 80, 82, 16]","[0, 17]","[43, 92, 29, 50, 57, 80, 82, 16]",[],[17],[0],2,0.6423232555389404,"{""0"": 2.5314903259277344, ""1"": -1.0}",0,0,"[43, 92, 29, 50, 57, 80, 16]","[0, 82, 17]","[43, 92, 29, 50, 57, 80, 16]","[0, 82, 17]","[43, 92, 29, 50, 57, 80, 16]",[],"[82, 17]",[0],"[43, 92, 29, 50, 57, 80, 16]","[0, 82, 17]","[43, 92, 29, 50, 57, 80, 16]",[],"[82, 17]",[0],7,0,2,1
178,10,5,"[0, 58, 21, 96, 94, 5, 80, 45, 62, 71]","[58, 21, 96, 94, 5, 80, 45, 62, 71]",[0],0.784649543123061,0.0702739681781559,2.0,0,0,"[58, 21, 96, 94, 5, 80, 45, 62]","[0, 71]","[58, 21, 96, 94, 5, 80, 45, 62]","[0, 71]","[58, 21, 96, 94, 5, 80, 45, 62]",[],[71],[0],2,0.517079770565033,"{""0"": 1.3710113763809204, ""1"": 4.58996057510376}",1,0,"[21, 94, 5, 80, 45, 62]","[0, 58, 96, 71]","[21, 94, 5, 80, 45, 62]","[0, 58, 96, 71]","[21, 94, 5, 80, 45, 62]",[],"[58, 96, 71]",[0],"[21, 94, 5, 80, 45, 62]","[0, 58, 96, 71]","[21, 94, 5, 80, 45, 62]",[],"[58, 96, 71]",[0],6,0,3,1
179,10,5,"[4, 2, 30, 41, 90, 42, 1, 69, 13, 73]","[30, 41, 90, 42, 69, 13, 73]","[4, 2, 1]",0.7565939989569026,0.06803855295907835,2.0,0,0,"[4, 2, 30, 41, 90, 42, 1, 69, 13]",[73],"[4, 2, 30, 41, 90, 42, 1, 69, 13]",[73],"[30, 41, 90, 42, 69, 13]","[4, 2, 1]",[73],[],2,0.54489666223526,"{""0"": 2.67926287651062, ""1"": 1.8487548828125}",0,0,"[4, 30, 90, 42, 1, 69, 13]","[2, 41, 73]","[4, 30, 90, 42, 1, 69, 13]","[2, 41, 73]","[30, 90, 42, 69, 13]","[4, 1]","[41, 73]",[2],"[4, 30, 90, 42, 1, 69, 13]","[2, 41, 73]","[30, 90, 42, 69, 13]","[4, 1]","[41, 73]",[2],5,2,2,1
180,10,5,"[4, 97, 54, 70, 96, 34, 36, 42, 56, 91]","[97, 54, 70, 96, 34, 36, 42, 56, 91]",[4],0.7246117522314626,0.09400178305100337,2.0,0,0,"[4, 70, 96, 34, 36, 42, 56, 91]","[97, 54]","[4, 70, 96, 34, 36, 42, 56, 91]","[97, 54]","[70, 96, 34, 36, 42, 56, 91]",[4],"[97, 54]",[],2,0.3738504648208618,"{""0"": 2.5596091747283936, ""1"": -1.0}",0,0,"[4, 70, 96, 34, 36, 56, 91]","[97, 54, 42]","[4, 70, 96, 34, 36, 56, 91]","[97, 54, 42]","[70, 96, 34, 36, 56, 91]",[4],"[97, 54, 42]",[],"[4, 70, 96, 34, 36, 56, 91]","[97, 54, 42]","[70, 96, 34, 36, 56, 91]",[4],"[97, 54, 42]",[],6,1,3,0
181,10,5,"[3, 96, 90, 93, 69, 11, 94, 58, 34, 38]","[96, 90, 93, 69, 11, 94, 58, 34, 38]",[3],0.5984815824037524,0.05163962952542561,2.0,0,0,"[3, 96, 90, 69, 94, 58, 34, 38]","[93, 11]","[3, 96, 90, 69, 94, 58, 34, 38]","[93, 11]","[96, 90, 69, 94, 58, 34, 38]",[3],"[93, 11]",[],2,0.5387430787086487,"{""0"": 3.604326009750366, ""1"": -1.0}",0,0,"[3, 96, 90, 94, 58, 34, 38]","[93, 69, 11]","[3, 96, 90, 94, 58, 34, 38]","[93, 69, 11]","[96, 90, 94, 58, 34, 38]",[3],"[93, 69, 11]",[],"[3, 96, 90, 94, 58, 34, 38]","[93, 69, 11]","[96, 90, 94, 58, 34, 38]",[3],"[93, 69, 11]",[],6,1,3,0
182,10,5,"[1, 5, 41, 34, 8, 82, 47, 11, 48, 89]","[5, 41, 34, 8, 82, 47, 11, 48, 89]",[1],0.7769178990651647,0.2540221309417291,2.0,0,0,"[1, 5, 41, 34, 8, 82, 47, 11, 48, 89]",[],"[1, 5, 41, 34, 8, 82, 47, 11, 48, 89]",[],"[5, 41, 34, 8, 82, 47, 11, 48, 89]",[1],[],[],2,0.43802061676979065,"{""0"": 1.0711708068847656, ""1"": -1.0}",0,0,"[1, 5, 41, 34, 8, 82, 47, 11, 89]",[48],"[1, 5, 41, 34, 8, 82, 47, 11, 89]",[48],"[5, 41, 34, 8, 82, 47, 11, 89]",[1],[48],[],"[1, 5, 41, 34, 8, 82, 47, 11, 89]",[48],"[5, 41, 34, 8, 82, 47, 11, 89]",[1],[48],[],8,1,1,0
