epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
11,10,5,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],0.8711289480400415,0.16879432397782945,2.0,0,0,"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[],[],[4],3,0.493097186088562,"{""0"": 3.720829963684082, ""1"": -1.0, ""2"": -1.0}",0,0,"[58, 20, 28, 44, 63, 65, 38]","[4, 97, 47]","[58, 20, 28, 44, 63, 65, 38]","[4, 97, 47]","[58, 20, 28, 44, 63, 65, 38]",[],"[97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38]","[4, 97, 47]","[58, 20, 28, 44, 63, 65, 38]",[],"[97, 47]",[4],7,0,2,1
12,10,5,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]",0.8010872257818653,0.19270674659648462,2.0,0,0,"[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","[81, 20, 6, 68, 37, 15, 11, 48]",[],[],"[3, 2]",4,0.3750257194042206,"{""0"": 1.7886511087417603, ""1"": 1.739725112915039, ""2"": -1.0, ""3"": -1.0}",0,0,"[81, 68]","[3, 20, 6, 2, 37, 15, 11, 48]","[81, 68]","[3, 20, 6, 2, 37, 15, 11, 48]","[81, 68]",[],"[20, 6, 37, 15, 11, 48]","[3, 2]","[81, 68]","[3, 20, 6, 2, 37, 15, 11, 48]","[81, 68]",[],"[20, 6, 37, 15, 11, 48]","[3, 2]",2,0,6,2
13,10,5,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]","[60, 95, 98, 39, 75, 32, 15, 52, 49]",[0],0.9242142756841525,0.14994132898116197,2.0,0,0,"[60, 95, 98, 39, 75, 32, 15, 52, 49]",[0],"[60, 95, 98, 39, 75, 32, 15, 52, 49]",[0],"[60, 95, 98, 39, 75, 32, 15, 52, 49]",[],[],[0],2,0.616050124168396,"{""0"": 5.850618839263916, ""1"": -1.0}",0,0,"[60, 98, 39, 75, 32, 15, 52, 49]","[0, 95]","[60, 98, 39, 75, 32, 15, 52, 49]","[0, 95]","[60, 98, 39, 75, 32, 15, 52, 49]",[],[95],[0],"[60, 98, 39, 75, 32, 15, 52, 49]","[0, 95]","[60, 98, 39, 75, 32, 15, 52, 49]",[],[95],[0],8,0,1,1
14,10,5,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]","[67, 86, 16, 55, 99, 88, 15, 12, 44]",[0],0.8342503968778501,0.10175390911097204,2.0,0,0,"[67, 86, 16, 55, 99, 15, 44]","[0, 88, 12]","[67, 86, 16, 55, 99, 15, 44]","[0, 88, 12]","[67, 86, 16, 55, 99, 15, 44]",[],"[88, 12]",[0],2,0.5479735732078552,"{""0"": 0.34282195568084717, ""1"": 4.716693878173828}",1,0,"[67, 86, 16, 55, 99]","[0, 88, 15, 12, 44]","[67, 86, 16, 55, 99]","[0, 88, 15, 12, 44]","[67, 86, 16, 55, 99]",[],"[88, 15, 12, 44]",[0],"[67, 86, 16, 55, 99]","[0, 88, 15, 12, 44]","[67, 86, 16, 55, 99]",[],"[88, 15, 12, 44]",[0],5,0,4,1
15,10,5,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]","[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]",0.7319845221742614,0.16300298709378613,2.0,0,0,"[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]","[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]","[81, 49, 56, 12, 30, 83, 37, 91]",[],[],"[2, 3]",2,0.4367556571960449,"{""0"": 0.32143300771713257, ""1"": 4.6876325607299805}",1,0,"[81, 49, 12, 83, 91]","[2, 56, 30, 37, 3]","[81, 49, 12, 83, 91]","[2, 56, 30, 37, 3]","[81, 49, 12, 83, 91]",[],"[56, 30, 37]","[2, 3]","[81, 49, 12, 83, 91]","[2, 56, 30, 37, 3]","[81, 49, 12, 83, 91]",[],"[56, 30, 37]","[2, 3]",5,0,3,2
16,10,5,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]","[57, 85, 84, 46, 6, 40, 43, 71, 39]",[2],0.9702169341707734,0.061308425413455714,2.0,0,0,"[85, 84, 46, 6, 40, 43, 71, 39]","[2, 57]","[85, 84, 46, 6, 40, 43, 71, 39]","[2, 57]","[85, 84, 46, 6, 40, 43, 71, 39]",[],[57],[2],2,0.46303585171699524,"{""0"": 2.5922186374664307, ""1"": -1.0}",0,0,"[85, 84, 46, 6, 40, 43, 39]","[2, 57, 71]","[85, 84, 46, 6, 40, 43, 39]","[2, 57, 71]","[85, 84, 46, 6, 40, 43, 39]",[],"[57, 71]",[2],"[85, 84, 46, 6, 40, 43, 39]","[2, 57, 71]","[85, 84, 46, 6, 40, 43, 39]",[],"[57, 71]",[2],7,0,2,1
17,10,5,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]","[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]",0.9612684069694002,0.10525823224904723,2.0,0,0,"[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]","[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]","[83, 71, 76, 18, 17, 81, 62, 52]",[],[],"[0, 3]",2,0.5224514007568359,"{""0"": 5.52012825012207, ""1"": -1.0}",0,0,"[83, 76, 18, 17, 81, 62, 52]","[0, 71, 3]","[83, 76, 18, 17, 81, 62, 52]","[0, 71, 3]","[83, 76, 18, 17, 81, 62, 52]",[],[71],"[0, 3]","[83, 76, 18, 17, 81, 62, 52]","[0, 71, 3]","[83, 76, 18, 17, 81, 62, 52]",[],[71],"[0, 3]",7,0,1,2
18,10,5,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]","[80, 88, 5, 84, 50, 40, 78, 31, 43]",[4],0.7473506415179547,0.21621180241386478,2.0,0,0,"[80, 5, 84, 50, 40, 78, 31, 43]","[4, 88]","[80, 5, 84, 50, 40, 78, 31, 43]","[4, 88]","[80, 5, 84, 50, 40, 78, 31, 43]",[],[88],[4],2,0.557007908821106,"{""0"": 3.2465786933898926, ""1"": -1.0}",0,0,"[80, 84, 50, 40, 78, 31, 43]","[4, 88, 5]","[80, 84, 50, 40, 78, 31, 43]","[4, 88, 5]","[80, 84, 50, 40, 78, 31, 43]",[],"[88, 5]",[4],"[80, 84, 50, 40, 78, 31, 43]","[4, 88, 5]","[80, 84, 50, 40, 78, 31, 43]",[],"[88, 5]",[4],7,0,2,1
19,10,5,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]","[84, 45, 95, 90, 65, 6, 87, 29, 51]",[3],0.755113806624865,0.10397250871063551,2.0,0,0,"[84, 45, 95, 90, 65, 6, 87, 29, 51]",[3],"[84, 45, 95, 90, 65, 6, 87, 29, 51]",[3],"[84, 45, 95, 90, 65, 6, 87, 29, 51]",[],[],[3],4,0.3293142318725586,"{""0"": 1.678694248199463, ""1"": 2.9632701873779297, ""2"": -1.0, ""3"": -1.0}",1,0,"[45, 90, 87]","[3, 84, 95, 65, 6, 29, 51]","[45, 90, 87]","[3, 84, 95, 65, 6, 29, 51]","[45, 90, 87]",[],"[84, 95, 65, 6, 29, 51]",[3],"[45, 90, 87]","[3, 84, 95, 65, 6, 29, 51]","[45, 90, 87]",[],"[84, 95, 65, 6, 29, 51]",[3],3,0,6,1
20,10,5,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]","[72, 28, 52, 38, 63, 18, 22, 39, 47]",[1],0.9153520942786685,0.17546861768722,2.0,0,0,"[72, 28, 52, 38, 63, 18, 22, 39, 47]",[1],"[72, 28, 52, 38, 63, 18, 22, 39, 47]",[1],"[72, 28, 52, 38, 63, 18, 22, 39, 47]",[],[],[1],3,0.4043888449668884,"{""0"": 1.961470127105713, ""1"": 1.9882447719573975, ""2"": 1.9301841259002686}",1,0,"[52, 63]","[1, 72, 28, 38, 18, 22, 39, 47]","[52, 63]","[1, 72, 28, 38, 18, 22, 39, 47]","[52, 63]",[],"[72, 28, 38, 18, 22, 39, 47]",[1],"[52, 63]","[1, 72, 28, 38, 18, 22, 39, 47]","[52, 63]",[],"[72, 28, 38, 18, 22, 39, 47]",[1],2,0,7,1
