epoch,client_id,role,is_adversary,update_norm,mad_z_score,mad_pass,mad_effective_pass,cluster_label,selected_cluster,cluster_pass,cluster_effective_pass,final_selected,trust_weight,clip_factor,update_norm_before_clip,update_norm_after_clip,feature_norm,feature_0,feature_1,feature_2
1,4,malicious,1,93.08242446663719,70.51463541412815,0,0,-1,0,0,0,0,,,,,6.962029162509045,6.872486591339111,1.1103421449661255,0.07693134993314743
1,32,benign,0,8.611783611578328,5.543926813547446,0,0,-1,0,0,0,0,,,,,1.5037153291353578,-0.25697916746139526,-1.2151962518692017,-0.8475963473320007
1,71,benign,0,1.0139905797002242,-0.2999260575191947,1,1,0,0,1,1,1,0.0,2.0,1.0139905797002242,1.0139905797002242,1.2139361059647962,-1.0074859857559204,-0.20270200073719025,0.6461615562438965
1,58,benign,0,0.5874013695620786,-0.6280377302078657,1,1,0,0,1,1,1,1.0,1.0,0.5874013695620786,0.5874013695620786,1.251644577392324,-0.8879362344741821,-0.882145345211029,0.0017267153598368168
1,3,malicious,1,90.04517202073777,68.17852855366843,0,0,-1,0,0,0,0,,,,,5.52135352943055,-2.1647884845733643,5.0770416259765625,-0.15061189234256744
1,24,benign,0,10.366534672146459,6.893595984619021,0,0,-1,0,0,0,0,,,,,1.1771050984376843,-0.797572672367096,-0.8644510507583618,0.046675752848386765
1,62,benign,0,1.793878834991661,0.29992605751919454,1,1,0,0,1,1,1,0.0,2.0,1.793878834991661,1.793878834991661,1.0555424853938624,-0.6866040825843811,-0.6652899980545044,0.44736337661743164
1,67,benign,0,0.8063118300211176,-0.4596624510323747,1,1,1,0,0,0,0,,,,,0.7469558412252483,0.07077088952064514,-0.6753032207489014,-0.3112877607345581
1,43,benign,0,0.5848482043432185,-0.630001500717531,1,1,0,0,1,1,1,0.0,2.0,0.5848482043432185,0.5848482043432185,1.087771918968556,-0.5796739459037781,-0.9077662825584412,0.15227028727531433
1,29,benign,0,0.4691401619825742,-0.7189984992824691,1,1,0,0,1,1,1,0.0,2.0,0.4691401619825742,0.4691401619825742,0.9590513683308219,-0.5622152090072632,-0.7745289206504822,-0.061632271856069565
2,1,malicious,1,215.06230845443397,464.5625073961535,0,0,-1,1,0,0,0,,,,,7.777359999244921,7.774994373321533,0.19163641333580017,-0.008157067932188511
2,55,benign,0,31.924020682884045,67.49155982602016,0,0,-1,1,0,0,0,,,,,0.977402045472124,-0.6970598101615906,-0.4306865930557251,-0.5328521728515625
2,98,benign,0,11.147235755818587,22.4444111449002,0,0,-1,1,0,0,0,,,,,0.974942084634856,-0.9114950299263,-0.3418363332748413,-0.05326161906123161
2,67,benign,0,1.318576713646795,1.1344218100256696,1,1,0,1,0,0,0,,,,,2.2497793005113658,-1.4991703033447266,1.6773468255996704,-0.02242608368396759
2,16,benign,0,0.759876734159417,-0.07692254052979097,1,1,1,1,1,1,1,0.5,1.0,0.759876734159417,0.759876734159417,0.6448272239057268,-0.6175355911254883,-0.17585444450378418,-0.0593898706138134
