epoch,num_sampled,num_adversaries,sampled_ids,sampled_benign_ids,sampled_malicious_ids,mad_median_norm,mad_mad,mad_k,mad_safety_keep_used,mad_fallback_used,mad_pass_ids,mad_reject_ids,mad_effective_pass_ids,mad_effective_reject_ids,mad_pass_benign_ids,mad_pass_malicious_ids,mad_reject_benign_ids,mad_reject_malicious_ids,cluster_best_k,cluster_best_score,cluster_scores,cluster_selected_cluster,cluster_fallback_used,cluster_pass_ids,cluster_reject_ids,cluster_effective_pass_ids,cluster_effective_reject_ids,cluster_pass_benign_ids,cluster_pass_malicious_ids,cluster_reject_benign_ids,cluster_reject_malicious_ids,final_selected_ids,final_rejected_ids,final_selected_benign_ids,final_selected_malicious_ids,final_rejected_benign_ids,final_rejected_malicious_ids,final_selected_benign_count,final_selected_malicious_count,final_rejected_benign_count,final_rejected_malicious_count
11,10,5,"[4, 58, 20, 28, 44, 63, 65, 38, 97, 47]","[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],0.9085835805334022,0.19978454019780784,2.0,0,0,"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[4],"[58, 20, 28, 44, 63, 65, 38, 97, 47]",[],[],[4],2,0.8114140629768372,"{""0"": 6.596878528594971, ""1"": 1.9818980693817139}",0,0,"[58, 28, 63, 65, 38, 97, 47]","[4, 20, 44]","[58, 28, 63, 65, 38, 97, 47]","[4, 20, 44]","[58, 28, 63, 65, 38, 97, 47]",[],"[20, 44]",[4],"[58, 28, 63, 65, 38, 97, 47]","[4, 20, 44]","[58, 28, 63, 65, 38, 97, 47]",[],"[20, 44]",[4],7,0,2,1
12,10,5,"[3, 81, 20, 6, 68, 2, 37, 15, 11, 48]","[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]",0.7497157980131985,0.19927338846870574,2.0,0,0,"[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","[81, 20, 6, 68, 37, 15, 11, 48]","[3, 2]","[81, 20, 6, 68, 37, 15, 11, 48]",[],[],"[3, 2]",2,0.629688024520874,"{""0"": 4.058435440063477, ""1"": -1.0}",0,0,"[81, 20, 6, 68, 37, 15, 11]","[3, 2, 48]","[81, 20, 6, 68, 37, 15, 11]","[3, 2, 48]","[81, 20, 6, 68, 37, 15, 11]",[],[48],"[3, 2]","[81, 20, 6, 68, 37, 15, 11]","[3, 2, 48]","[81, 20, 6, 68, 37, 15, 11]",[],[48],"[3, 2]",7,0,1,2
13,10,5,"[0, 60, 95, 98, 39, 75, 32, 15, 52, 49]","[60, 95, 98, 39, 75, 32, 15, 52, 49]",[0],0.8783636071215488,0.24774256642949166,2.0,0,0,"[60, 95, 98, 39, 75, 32, 15, 52, 49]",[0],"[60, 95, 98, 39, 75, 32, 15, 52, 49]",[0],"[60, 95, 98, 39, 75, 32, 15, 52, 49]",[],[],[0],2,0.5615812540054321,"{""0"": 5.200060844421387, ""1"": -1.0}",0,0,"[60, 98, 39, 75, 32, 15, 52, 49]","[0, 95]","[60, 98, 39, 75, 32, 15, 52, 49]","[0, 95]","[60, 98, 39, 75, 32, 15, 52, 49]",[],[95],[0],"[60, 98, 39, 75, 32, 15, 52, 49]","[0, 95]","[60, 98, 39, 75, 32, 15, 52, 49]",[],[95],[0],8,0,1,1
14,10,5,"[0, 67, 86, 16, 55, 99, 88, 15, 12, 44]","[67, 86, 16, 55, 99, 88, 15, 12, 44]",[0],0.7145447482255982,0.09965266405606937,2.0,0,0,"[67, 86, 16, 55, 99, 15, 12, 44]","[0, 88]","[67, 86, 16, 55, 99, 15, 12, 44]","[0, 88]","[67, 86, 16, 55, 99, 15, 12, 44]",[],[88],[0],2,0.5279731154441833,"{""0"": 5.705970764160156, ""1"": -1.0}",0,0,"[86, 16, 55, 99, 15, 12, 44]","[0, 67, 88]","[86, 16, 55, 99, 15, 12, 44]","[0, 67, 88]","[86, 16, 55, 99, 15, 12, 44]",[],"[67, 88]",[0],"[86, 16, 55, 99, 15, 12, 44]","[0, 67, 88]","[86, 16, 55, 99, 15, 12, 44]",[],"[67, 88]",[0],7,0,2,1
15,10,5,"[2, 81, 49, 56, 12, 30, 83, 37, 3, 91]","[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]",0.6883144260373328,0.17392651332912168,2.0,0,0,"[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]","[81, 49, 56, 12, 30, 83, 37, 91]","[2, 3]","[81, 49, 56, 12, 30, 83, 37, 91]",[],[],"[2, 3]",4,0.3421705961227417,"{""0"": 2.9089860916137695, ""1"": 1.8796672821044922, ""2"": -1.0, ""3"": 1.9991570711135864}",0,0,"[81, 83, 37]","[2, 49, 56, 12, 30, 3, 91]","[81, 83, 37]","[2, 49, 56, 12, 30, 3, 91]","[81, 83, 37]",[],"[49, 56, 12, 30, 91]","[2, 3]","[81, 83, 37]","[2, 49, 56, 12, 30, 3, 91]","[81, 83, 37]",[],"[49, 56, 12, 30, 91]","[2, 3]",3,0,5,2
16,10,5,"[2, 57, 85, 84, 46, 6, 40, 43, 71, 39]","[57, 85, 84, 46, 6, 40, 43, 71, 39]",[2],0.7817343751975692,0.10161950198959241,2.0,0,0,"[57, 85, 84, 46, 6, 40, 43, 71, 39]",[2],"[57, 85, 84, 46, 6, 40, 43, 71, 39]",[2],"[57, 85, 84, 46, 6, 40, 43, 71, 39]",[],[],[2],2,0.4741518795490265,"{""0"": 3.131328582763672, ""1"": 1.9748291969299316}",0,0,"[57, 84, 46, 6, 40, 43, 39]","[2, 85, 71]","[57, 84, 46, 6, 40, 43, 39]","[2, 85, 71]","[57, 84, 46, 6, 40, 43, 39]",[],"[85, 71]",[2],"[57, 84, 46, 6, 40, 43, 39]","[2, 85, 71]","[57, 84, 46, 6, 40, 43, 39]",[],"[85, 71]",[2],7,0,2,1
17,10,5,"[0, 83, 71, 76, 18, 17, 81, 62, 3, 52]","[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]",0.9223491643044688,0.12734588663600416,2.0,0,0,"[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]","[83, 71, 76, 18, 17, 81, 62, 52]","[0, 3]","[83, 71, 76, 18, 17, 81, 62, 52]",[],[],"[0, 3]",2,0.5609042644500732,"{""0"": 1.8267117738723755, ""1"": 5.785472393035889}",1,0,"[83, 76, 18, 17, 62, 52]","[0, 71, 81, 3]","[83, 76, 18, 17, 62, 52]","[0, 71, 81, 3]","[83, 76, 18, 17, 62, 52]",[],"[71, 81]","[0, 3]","[83, 76, 18, 17, 62, 52]","[0, 71, 81, 3]","[83, 76, 18, 17, 62, 52]",[],"[71, 81]","[0, 3]",6,0,2,2
18,10,5,"[4, 80, 88, 5, 84, 50, 40, 78, 31, 43]","[80, 88, 5, 84, 50, 40, 78, 31, 43]",[4],0.9294254845616028,0.10640834954281203,2.0,0,0,"[80, 5, 84, 50, 40, 78, 31, 43]","[4, 88]","[80, 5, 84, 50, 40, 78, 31, 43]","[4, 88]","[80, 5, 84, 50, 40, 78, 31, 43]",[],[88],[4],2,0.433871328830719,"{""0"": 5.136629581451416, ""1"": -1.0}",0,0,"[80, 5, 84, 50, 40, 78, 43]","[4, 88, 31]","[80, 5, 84, 50, 40, 78, 43]","[4, 88, 31]","[80, 5, 84, 50, 40, 78, 43]",[],"[88, 31]",[4],"[80, 5, 84, 50, 40, 78, 43]","[4, 88, 31]","[80, 5, 84, 50, 40, 78, 43]",[],"[88, 31]",[4],7,0,2,1
19,10,5,"[3, 84, 45, 95, 90, 65, 6, 87, 29, 51]","[84, 45, 95, 90, 65, 6, 87, 29, 51]",[3],0.8853107015713906,0.0919834762882164,2.0,0,0,"[84, 45, 90, 65, 6, 87, 29, 51]","[3, 95]","[84, 45, 90, 65, 6, 87, 29, 51]","[3, 95]","[84, 45, 90, 65, 6, 87, 29, 51]",[],[95],[3],2,0.6438343524932861,"{""0"": 5.7440185546875, ""1"": -1.0}",0,0,"[84, 90, 65, 6, 87, 29, 51]","[3, 45, 95]","[84, 90, 65, 6, 87, 29, 51]","[3, 45, 95]","[84, 90, 65, 6, 87, 29, 51]",[],"[45, 95]",[3],"[84, 90, 65, 6, 87, 29, 51]","[3, 45, 95]","[84, 90, 65, 6, 87, 29, 51]",[],"[45, 95]",[3],7,0,2,1
20,10,5,"[1, 72, 28, 52, 38, 63, 18, 22, 39, 47]","[72, 28, 52, 38, 63, 18, 22, 39, 47]",[1],0.9044663385571061,0.17091629269764658,2.0,0,0,"[72, 28, 52, 38, 63, 18, 22, 39, 47]",[1],"[72, 28, 52, 38, 63, 18, 22, 39, 47]",[1],"[72, 28, 52, 38, 63, 18, 22, 39, 47]",[],[],[1],3,0.6276789903640747,"{""0"": 5.47418212890625, ""1"": 1.9819039106369019, ""2"": -1.0}",0,0,"[52, 38, 63, 18, 22, 39]","[1, 72, 28, 47]","[52, 38, 63, 18, 22, 39]","[1, 72, 28, 47]","[52, 38, 63, 18, 22, 39]",[],"[72, 28, 47]",[1],"[52, 38, 63, 18, 22, 39]","[1, 72, 28, 47]","[52, 38, 63, 18, 22, 39]",[],"[72, 28, 47]",[1],6,0,3,1
