epoch,client_id,role,is_adversary,update_norm,mad_z_score,mad_pass,mad_effective_pass,cluster_label,selected_cluster,cluster_pass,cluster_effective_pass,final_selected,trust_weight,clip_factor,update_norm_before_clip,update_norm_after_clip,feature_norm,feature_0,feature_1,feature_2
4,68,benign,0,0.5906581791022383,-0.7366265691243769,1,1,0,0,1,1,1,0.0,2.0,0.5906581791022383,0.5906581791022383,0.7038016532934159,-0.3223471939563751,-0.4552471935749054,-0.42916086316108704
4,48,benign,0,1.1868605220821196,1.3669424819201204,1,1,0,0,1,1,1,0.0,2.0,1.1868605220821196,1.1868605220821196,0.6483325543859351,-0.18201394379138947,-0.5110496282577515,-0.3550131022930145
4,28,benign,0,0.7733314454047538,-0.09210406099973437,1,1,0,0,1,1,1,0.0,2.0,0.7733314454047538,0.7733314454047538,0.5478245194052555,-0.5235618948936462,-0.055563829839229584,-0.15135160088539124
4,53,benign,0,0.7295607553157859,-0.24653932966005918,1,1,0,0,1,1,1,0.5,1.0,0.7295607553157859,0.7295607553157859,0.6496692596185515,-0.45643189549446106,-0.36869534850120544,-0.2789333462715149
4,72,benign,0,0.8255404821737036,0.09210406099973396,1,1,0,0,1,1,1,0.5,1.0,0.8255404821737036,0.8255404821737036,0.6049663164734743,-0.4528893530368805,-0.33112969994544983,-0.22633735835552216
4,34,benign,0,0.6258745234907083,-0.6123734308756231,1,1,0,0,1,1,1,0.0,2.0,0.6258745234907083,0.6258745234907083,0.6378195927723508,-0.4258214235305786,-0.2569686472415924,-0.3993207514286041
4,88,benign,0,1.6641402013810882,3.0509190276138245,1,1,2,0,0,0,0,,,,,2.193955999239021,-1.051615834236145,-0.32261574268341064,1.8982797861099243
5,4,malicious,1,21.04027085410462,112.6704670451986,0,0,-1,0,0,0,0,,,,,3.7860328293401384,3.7853310108184814,-0.06613492220640182,0.03065771423280239
5,27,benign,0,0.7368509703352646,0.07683951593970825,1,1,0,0,1,1,1,0.20000000298023224,1.0,0.7368509703352646,0.7368509703352646,0.5511409032340078,-0.5280078053474426,-0.11810094118118286,0.1049581840634346
5,55,benign,0,0.7392207957962877,0.08998150122077404,1,1,0,0,1,1,1,0.0,2.0,0.7392207957962877,0.7392207957962877,0.5864049948291479,-0.4645388126373291,-0.300544410943985,-0.19428732991218567
