,main,main_loss,backdoor,backdoor_loss,lr
1,92.33,0.00026568071246147156,68.94,0.0008271614670753479,0.002
2,92.2,0.00027074020355939867,92.52,0.00020346638113260268,0.002
3,92.25999999999999,0.0002709785610437393,96.86,0.00010744184702634811,0.002
4,92.32000000000001,0.00026911261081695556,99.09,5.212491452693939e-05,0.002
5,92.32000000000001,0.0002669832348823547,99.65,3.140352107584476e-05,0.002
6,92.21000000000001,0.0002704096108675003,99.48,3.3691437356173995e-05,0.002
7,91.86,0.0002756377041339874,99.67,2.9783201776444914e-05,0.002
8,92.38,0.0002695169910788536,99.82,2.3930464684963227e-05,0.002
9,92.36999999999999,0.00026615932136774066,99.94,1.8638178519904612e-05,0.002
10,92.45,0.00026251599192619326,99.99,1.528757493942976e-05,0.002
11,91.94,0.000279203537106514,99.99,1.422206973657012e-05,0.002
12,92.22,0.0002677161604166031,99.99,1.3837826903909445e-05,0.002
13,92.31,0.0002686587020754814,99.99,1.3474555686116218e-05,0.002
14,92.19000000000001,0.00026808289736509326,99.99,1.2626718357205391e-05,0.002
15,92.30000000000001,0.00026864971071481706,99.99,1.2167633697390556e-05,0.002
16,92.05,0.00026907903403043746,99.99,1.264425227418542e-05,0.002
17,92.34,0.00026536382287740707,99.99,1.1660802457481623e-05,0.002
18,92.30000000000001,0.00027031360566616056,99.99,1.1838114820420742e-05,0.002
19,92.17999999999999,0.0002686690360307693,99.99,1.1638107243925333e-05,0.002
20,92.32000000000001,0.00026462872326374055,99.99,1.1542083509266377e-05,0.002
21,92.24,0.00026608460694551466,99.99,1.1967804841697216e-05,0.002
22,92.43,0.0002657114639878273,99.99,1.1499531008303166e-05,0.002
23,92.38,0.00026647367030382154,99.99,1.1536534037441015e-05,0.002
24,92.34,0.0002687166288495064,99.99,1.171357249841094e-05,0.002
25,92.29,0.0002702857106924057,99.99,1.1771082878112792e-05,0.002
26,92.42,0.00026590222716331484,99.99,1.1519616935402154e-05,0.002
27,92.13,0.0002688261389732361,100.0,1.1222914233803749e-05,0.002
28,92.23,0.000269484606385231,99.99,1.1334702372550964e-05,0.002
29,92.41,0.0002693648546934128,100.0,1.1556082405149936e-05,0.002
30,92.34,0.0002674192279577255,100.0,1.1312947236001492e-05,0.002
31,92.0,0.00026837692111730577,100.0,1.1439603753387928e-05,0.002
32,92.29,0.00026980401277542114,100.0,1.131708538159728e-05,0.002
33,92.09,0.0002638219565153122,100.0,1.1201162822544574e-05,0.002
34,92.4,0.00026368964463472364,100.0,1.1003709305077792e-05,0.002
35,92.4,0.0002661327689886093,100.0,1.1356710735708476e-05,0.002
